,Shift,Name,Mean Prop,Valency
222,-4963,trans-[Pt(Me)I(PMe2Ph)2],22.25,4.0
223,-4671,trans-[Pt(Me)Br(PMe2Ph)2],17.75,4.0
224,-4484,trans-[Pt(Me)Cl(PMe2Ph)2],13.25,4.0
225,-5049,trans-[PtCl(SiH2CCH)(PEt3)2],15.25,4.0
226,-5035,trans-[PtCl(SiH2CCCF3)(PEt3)2],15.25,4.0
227,-5110,trans-[PtI(SiHICCH)(PEt3)2],24.25,4.0
228,-1858,[PtCl3Br]2-,21.5,4.0
229,-2101,trans-[PtCl2Br2]2-,26.0,4.0
230,-2111,cis-[PtCl2Br2]2-,26.0,4.0
231,-2380,[PtClBr3]2-,30.5,4.0
232,-1671,[Pt(NO2)Cl3]2-,14.5,4.0
233,-1828,trans-[Pt(NO2)Cl2Br]2-,19.0,4.0
234,-1878,cis-[Pt(NO2)Cl2Br]2-,19.0,4.0
235,-2057,cis-[Pt(NO2)ClBr2]2-,23.5,4.0
236,-2104,trans-[Pt(NO2)ClBr2]2-,23.5,4.0
237,-2303,[Pt(NO2)Br3]2-,28.0,4.0
238,-1797,trans-[Pt(NO2)2Cl2]2-,12.0,4.0
239,-1994,trans-[Pt(NO2)2ClBr]2-,16.5,4.0
240,-2209,trans-[Pt(NO2)2Br2]2-,21.0,4.0
241,-1797,cis-[Pt(NO2)2Cl2]2-,12.0,4.0
242,-1949,cis-[Pt(NO2)2ClBr]2-,16.5,4.0
243,-2120,cis-[Pt(NO2)2Br2]2-,21.0,4.0
244,-1949,[Pt(NO2)3Cl]2-,9.5,4.0
245,-2087,[Pt(NO2)3Br]2-,14.0,4.0
246,-2187,[Pt(NO2)4]2-,7.0,4.0
247,7090,[PtF6] 2-,9.0,6.0
248,5856,[PtClF5] 2-,10.333333333333334,6.0
249,5669,[PtBrF5] 2-,13.333333333333332,6.0
250,4887,trans-[PtCl2F4] 2-,11.666666666666668,6.0
251,4551,trans-[PtBr2F4] 2-,17.666666666666664,6.0
252,4547,cis-[PtCl2F4] 2-,11.666666666666668,6.0
253,4136,cis-[PtBr2F4] 2-,17.666666666666664,6.0
254,3551,mer-[PtCl3F3] 2-,13.0,6.0
255,3191,fac-[PtCl3F3] 2-,13.0,6.0
256,2907,mer-[PtBr3F3] 2-,22.0,6.0
257,2534,trans-[PtCl4F2] 2-,14.333333333333334,6.0
258,2487,fac-[PtBr3F3] 2-,22.0,6.0
259,2171,cis-[PtCl4F2] 2-,14.333333333333334,6.0
260,1157,trans-[PtBr4F2] 2-,26.333333333333332,6.0
261,1142,cis-[PtBr4F2] 2-,26.333333333333332,6.0
262,1111,[PtCl5F]2-,15.666666666666666,6.0
263,0,[PtCl6] 2-,17.0,6.0
264,-286,[PtCl5Br]2-,20.0,6.0
265,-311,[PtBr5F]2-,30.666666666666668,6.0
266,-583,cis-[PtCl4Br2] 2-,23.0,6.0
267,-585,trans-[PtCl4Br2] 2-,23.0,6.0
268,-854,[PtCl5I]2-,23.0,6.0
269,-892,fac-[PtCl3Br3] 2-,26.0,6.0
270,-894,mer-[PtCl3Br3] 2-,26.0,6.0
271,-1213,cis-[PtCl2Br4] 2-,29.0,6.0
272,-1216,trans-[PtCl2Br4] 2-,29.0,6.0
273,-1547,[PtClBr5] 2-,32.0,6.0
274,-1806,cis-[PtCl4I2] 2-,29.0,6.0
275,-1884,trans-[PtCl4I2] 2-,29.0,6.0
276,-1891,[PtBr6] 2-,35.0,6.0
277,-2545,[PtBr5I]2-,38.0,6.0
278,-2849,fac-[PtCl3I3] 2-,35.0,6.0
279,-2849,mer-[PtCl3I3] 2-,35.0,6.0
280,-3132,trans-[PtBr4I2] 2-,41.0,6.0
281,-3252,cis-[PtBr4I2] 2-,41.0,6.0
282,-3898,mer-[PtBr3I3] 2-,44.0,6.0
283,-3932,cis-[PtCl2I4] 2-,41.0,6.0
284,-3932,trans-[PtCl2I4] 2-,41.0,6.0
285,-4014,fac-[PtBr3I3] 2-,44.0,6.0
286,-4603,trans-[PtBr2I4] 2-,47.0,6.0
287,-4719,cis-[PtBr2I4] 2-,47.0,6.0
288,-5081,[PtClI5] 2-,47.0,6.0
289,-5483,[PtBrI5] 2-,50.0,6.0
290,-6293,[PtI6] 2-,53.0,6.0
291,-2097,cis-Pt(NH3)2Cl2,12.0,4.0
